project_id,library_id,source,smiles,canonical_smiles,series,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds
GPCR002,GPCR002-PG00001,pregenerated,CCOc1cc(CC)ccc1CNC(=O)c1ccc(CCO)cc1,CCOc1cc(CC)ccc1CNC(=O)c1ccc(CCO)cc1,virtual,327.42,3.11,58.56,2,3,8
GPCR002,GPCR002-PG00002,pregenerated,CN(C)CCc1ccc(O)c(C(F)(F)F)c1C(F)(F)F,CN(C)CCc1ccc(O)c(C(F)(F)F)c1C(F)(F)F,virtual,301.23,3.53,23.47,1,2,3
GPCR002,GPCR002-PG00003,pregenerated,NCc1ccc(C(=O)NCc2ccc(N)cc2N)cc1,NCc1ccc(C(=O)NCc2ccc(N)cc2N)cc1,virtual,270.34,1.24,107.16,4,4,4
GPCR002,GPCR002-PG00004,pregenerated,CCc1c(F)ccc(CCN(C)C)c1CCO,CCc1c(F)ccc(CCN(C)C)c1CCO,virtual,239.33,2.03,23.47,1,2,6
GPCR002,GPCR002-PG00005,pregenerated,CNc1ccc(CCN2CCN(CCO)CC2)c(CCO)c1,CNc1ccc(CCN2CCN(CCO)CC2)c(CCO)c1,virtual,307.44,0.42,58.97,3,5,8
GPCR002,GPCR002-PG00006,pregenerated,N#Cc1ccc(CNC(=O)c2ccc(CN)cc2)c(OC=O)c1,N#Cc1ccc(CNC(=O)c2ccc(CN)cc2)c(OC=O)c1,virtual,309.33,1.48,105.21,2,5,6
GPCR002,GPCR002-PG00007,pregenerated,O=COc1ccc(OCCN2CCOCC2)c(CCO)c1,O=COc1ccc(OCCN2CCOCC2)c(CCO)c1,virtual,295.33,0.47,68.23,1,6,8
GPCR002,GPCR002-PG00008,pregenerated,COc1cc(CN)ccc1CNC(=O)c1ccc(CCO)cc1,COc1cc(CN)ccc1CNC(=O)c1ccc(CCO)cc1,virtual,314.39,1.62,84.58,3,4,7
GPCR002,GPCR002-PG00009,pregenerated,CCc1ccc(CCN(C)C)c(CC)c1F,CCc1ccc(CCN(C)C)c(CC)c1F,virtual,223.33,3.05,3.24,0,1,5
GPCR002,GPCR002-PG00010,pregenerated,CCc1cc(OC=O)ccc1CCN1CCN(CCO)CC1,CCc1cc(OC=O)ccc1CCN1CCN(CCO)CC1,virtual,306.41,0.94,53.01,1,5,8
GPCR002,GPCR002-PG00011,pregenerated,COc1ccc(CNC(=O)c2ccc(CCO)cc2)c(NC=O)c1,COc1ccc(CNC(=O)c2ccc(CCO)cc2)c(NC=O)c1,virtual,328.37,1.73,87.66,3,4,8
GPCR002,GPCR002-PG00012,pregenerated,NCc1cc(NC=O)ccc1CCN1CCN(O)CC1,NCc1cc(NC=O)ccc1CCN1CCN(O)CC1,virtual,278.36,0.26,81.83,3,5,6
GPCR002,GPCR002-PG00013,pregenerated,CNc1ccc(CCN2CCN(CO)CC2)c(N)c1,CNc1ccc(CCN2CCN(CO)CC2)c(N)c1,virtual,264.37,0.42,64.76,3,5,5
GPCR002,GPCR002-PG00014,pregenerated,NCc1ccc(C(=O)NCc2ccc(O)cc2Br)cc1,NCc1ccc(C(=O)NCc2ccc(O)cc2Br)cc1,virtual,335.20,2.54,75.35,3,3,4
GPCR002,GPCR002-PG00015,pregenerated,FC(F)(F)c1ccc(CCN2CCCCC2)c(Cl)c1,FC(F)(F)c1ccc(CCN2CCCCC2)c(Cl)c1,virtual,291.74,4.39,3.24,0,1,3
GPCR002,GPCR002-PG00016,pregenerated,CCOc1cc(CO)ccc1CNC(=O)c1ccc(CCO)cc1,CCOc1cc(CO)ccc1CNC(=O)c1ccc(CCO)cc1,virtual,329.40,2.04,78.79,3,4,8
GPCR002,GPCR002-PG00017,pregenerated,CNc1cc(CO)ccc1CCN1CCCCC1,CNc1cc(CO)ccc1CCN1CCCCC1,virtual,248.37,2.25,35.50,2,3,5
GPCR002,GPCR002-PG00018,pregenerated,Cc1ccc(C(=O)NCc2ccc(C#N)cc2Cl)cc1,Cc1ccc(C(=O)NCc2ccc(C#N)cc2Cl)cc1,virtual,284.75,3.45,52.89,1,2,3
GPCR002,GPCR002-PG00019,pregenerated,N#CN1CCN(CCc2ccc(F)cc2C(F)(F)F)CC1,N#CN1CCN(CCc2ccc(F)cc2C(F)(F)F)CC1,virtual,301.29,2.49,30.27,0,3,3
GPCR002,GPCR002-PG00020,pregenerated,COc1c(NC=O)ccc(CCN(C)C)c1C(F)(F)F,COc1c(NC=O)ccc(CCN(C)C)c1C(F)(F)F,virtual,290.28,2.39,41.57,1,3,6
GPCR002,GPCR002-PG00021,pregenerated,Cc1ccc(CCN2CCN(C#N)CC2)c(O)c1,Cc1ccc(CCN2CCN(C#N)CC2)c(O)c1,virtual,245.33,1.34,50.50,1,4,3
GPCR002,GPCR002-PG00022,pregenerated,NN1CCN(CCc2ccc(Br)cc2CCO)CC1,NN1CCN(CCc2ccc(Br)cc2CCO)CC1,virtual,328.25,1.02,52.73,2,4,5
GPCR002,GPCR002-PG00023,pregenerated,Nc1ccc(C(=O)NCc2ccc(N)cc2O)cc1,Nc1ccc(C(=O)NCc2ccc(N)cc2O)cc1,virtual,257.29,1.49,101.37,4,4,3
GPCR002,GPCR002-PG00024,pregenerated,Cc1ccc(CNC(=O)c2ccc(O)cc2)c(OC=O)c1,Cc1ccc(CNC(=O)c2ccc(O)cc2)c(OC=O)c1,virtual,285.30,2.17,75.63,2,4,5
GPCR002,GPCR002-PG00025,pregenerated,O=CNc1ccc(OCCN2CCOCC2)c(CCO)c1,O=CNc1ccc(OCCN2CCOCC2)c(CCO)c1,virtual,294.35,0.50,71.03,2,5,8
GPCR002,GPCR002-PG00026,pregenerated,Cc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2C)cc1,Cc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2C)cc1,virtual,307.32,4.25,29.10,1,1,3
GPCR002,GPCR002-PG00027,pregenerated,Nc1ccc(C(=O)NCc2ccc(N)cc2N)cc1,Nc1ccc(C(=O)NCc2ccc(N)cc2N)cc1,virtual,256.31,1.36,107.16,4,4,3
GPCR002,GPCR002-PG00028,pregenerated,CN(C)CCc1ccc(Cl)c(N)c1O,CN(C)CCc1ccc(Cl)c(N)c1O,virtual,214.70,1.73,49.49,2,3,3
GPCR002,GPCR002-PG00029,pregenerated,NCc1ccc(CNC(=O)c2ccc(N)cc2)c(OC=O)c1,NCc1ccc(CNC(=O)c2ccc(N)cc2)c(OC=O)c1,virtual,299.33,1.19,107.44,3,5,6
GPCR002,GPCR002-PG00030,pregenerated,Oc1cc(Br)ccc1CCN1CCN(O)CC1,Oc1cc(Br)ccc1CCN1CCN(O)CC1,virtual,301.18,1.70,46.94,2,4,3
GPCR002,GPCR002-PG00031,pregenerated,CCc1ccc(CCN(C)C)c(CCO)c1CCO,CCc1ccc(CCN(C)C)c(CCO)c1CCO,virtual,265.40,1.42,43.70,2,3,8
GPCR002,GPCR002-PG00032,pregenerated,Nc1cc(NC=O)ccc1CCN1CCN(Cl)CC1,Nc1cc(NC=O)ccc1CCN1CCN(Cl)CC1,virtual,282.78,1.15,61.60,2,4,5
GPCR002,GPCR002-PG00033,pregenerated,CCc1cc(F)ccc1CCN1CCN(CCO)CC1,CCc1cc(F)ccc1CCN1CCN(CCO)CC1,virtual,280.39,1.54,26.71,1,3,6
GPCR002,GPCR002-PG00034,pregenerated,CCc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2Br)cc1,CCc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2Br)cc1,virtual,386.21,4.96,29.10,1,1,4
GPCR002,GPCR002-PG00035,pregenerated,Cc1c(Cl)ccc(CCN(C)C)c1C,Cc1c(Cl)ccc(CCN(C)C)c1C,virtual,211.74,3.06,3.24,0,1,3
GPCR002,GPCR002-PG00036,pregenerated,CCOc1ccc(CCN(C)C)c(CCO)c1CC,CCOc1ccc(CCN(C)C)c(CCO)c1CC,virtual,265.40,2.29,32.70,1,3,8
GPCR002,GPCR002-PG00037,pregenerated,CCc1c(CCN(C)C)ccc(C)c1CO,CCc1c(CCN(C)C)ccc(C)c1CO,virtual,221.34,2.15,23.47,1,2,5
GPCR002,GPCR002-PG00038,pregenerated,COc1cc(S)ccc1CCN1CCN(OC)CC1,COc1cc(S)ccc1CCN1CCN(OC)CC1,virtual,282.41,1.71,24.94,1,5,5
GPCR002,GPCR002-PG00039,pregenerated,CCc1cc(CCO)ccc1CNC(=O)c1ccc(CCO)cc1,CCc1cc(CCO)ccc1CNC(=O)c1ccc(CCO)cc1,virtual,327.42,2.25,69.56,3,3,8
GPCR002,GPCR002-PG00040,pregenerated,OCCc1cc(Br)ccc1CCN1CCN(C(F)(F)F)CC1,OCCc1cc(Br)ccc1CCN1CCN(C(F)(F)F)CC1,virtual,381.24,2.66,26.71,1,3,5
GPCR002,GPCR002-PG00041,pregenerated,CCOc1ccc(CCN(C)C)c(CC)c1Cl,CCOc1ccc(CCN(C)C)c(CC)c1Cl,virtual,255.79,3.41,12.47,0,2,6
GPCR002,GPCR002-PG00042,pregenerated,Nc1ccc(C(=O)NCc2ccc(O)cc2S)cc1,Nc1ccc(C(=O)NCc2ccc(O)cc2S)cc1,virtual,274.35,2.19,75.35,4,4,3
GPCR002,GPCR002-PG00043,pregenerated,CCc1ccc(C(=O)NCc2ccc(CC)cc2OC)cc1,CCc1ccc(C(=O)NCc2ccc(CC)cc2OC)cc1,virtual,297.40,3.75,38.33,1,2,6
GPCR002,GPCR002-PG00044,pregenerated,FC(F)(F)c1cc(Br)ccc1CCN1CCN(C(F)(F)F)CC1,FC(F)(F)c1cc(Br)ccc1CCN1CCN(C(F)(F)F)CC1,virtual,405.18,4.15,6.48,0,2,3
GPCR002,GPCR002-PG00045,pregenerated,CN1CCN(CCc2ccc(OC=O)cc2CN)CC1,CN1CCN(CCc2ccc(OC=O)cc2CN)CC1,virtual,277.37,0.47,58.80,1,5,6
GPCR002,GPCR002-PG00046,pregenerated,CCc1cc(NC=O)ccc1CCN1CCN(C(F)(F)F)CC1,CCc1cc(NC=O)ccc1CCN1CCN(C(F)(F)F)CC1,virtual,329.37,2.50,35.58,1,3,6
GPCR002,GPCR002-PG00047,pregenerated,CCOc1cc(CC)ccc1CNC(=O)c1ccc(C(F)(F)F)cc1,CCOc1cc(CC)ccc1CNC(=O)c1ccc(C(F)(F)F)cc1,virtual,351.37,4.60,38.33,1,2,6
GPCR002,GPCR002-PG00048,pregenerated,CCc1cc(CCO)ccc1CNC(=O)c1ccc(Cl)cc1,CCc1cc(CCO)ccc1CNC(=O)c1ccc(Cl)cc1,virtual,317.82,3.37,49.33,2,2,6
GPCR002,GPCR002-PG00049,pregenerated,CNc1cc(CO)ccc1CNC(=O)c1ccc(CN)cc1,CNc1cc(CO)ccc1CNC(=O)c1ccc(CN)cc1,virtual,299.37,1.61,87.38,4,4,6
GPCR002,GPCR002-PG00050,pregenerated,N#Cc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2NC=O)cc1,N#Cc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2NC=O)cc1,virtual,347.30,3.08,81.99,2,3,5
GPCR002,GPCR002-PG00051,pregenerated,Cc1cc(CCO)ccc1CNC(=O)c1ccc(CN)cc1,Cc1cc(CCO)ccc1CNC(=O)c1ccc(CN)cc1,virtual,298.39,1.92,75.35,3,3,6
GPCR002,GPCR002-PG00052,pregenerated,NN1CCN(CCc2ccc(O)cc2O)CC1,NN1CCN(CCc2ccc(O)cc2O)CC1,virtual,237.30,0.13,72.96,3,5,3
GPCR002,GPCR002-PG00053,pregenerated,CN(C)CCc1ccc(N)c(C#N)c1CN,CN(C)CCc1ccc(N)c(C#N)c1CN,virtual,218.30,0.70,79.07,2,4,4
