project_id,library_id,source,smiles,canonical_smiles,series,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds
KIN001,KIN001-PG00001,pregenerated,Nc1cnc(Nc2ccc(N)cc2O)nc1,Nc1cnc(Nc2ccc(N)cc2O)nc1,virtual,217.23,1.09,110.08,4,6,2
KIN001,KIN001-PG00002,pregenerated,O=C(Nc1ccc(C(F)(F)F)cc1F)c1ccc(F)cc1,O=C(Nc1ccc(C(F)(F)F)cc1F)c1ccc(F)cc1,virtual,301.21,4.24,29.10,1,1,2
KIN001,KIN001-PG00003,pregenerated,CCOc1cc(O)ccc1C(=O)Nc1cccc(CC)n1,CCOc1cc(O)ccc1C(=O)Nc1cccc(CC)n1,virtual,286.33,3.00,71.45,2,4,5
KIN001,KIN001-PG00004,pregenerated,N#Cc1cc(CN)ccc1NC(=O)c1ccc(OC=O)cc1,N#Cc1cc(CN)ccc1NC(=O)c1ccc(OC=O)cc1,virtual,295.30,1.80,105.21,2,5,5
KIN001,KIN001-PG00005,pregenerated,N#CN1CCN(CCc2ccc(N)cc2)CC1,N#CN1CCN(CCc2ccc(N)cc2)CC1,virtual,230.31,0.91,56.29,1,4,3
KIN001,KIN001-PG00006,pregenerated,CCOc1cc(CN)ccc1Nc1ncc(C(F)(F)F)cn1,CCOc1cc(CN)ccc1Nc1ncc(C(F)(F)F)cn1,virtual,312.30,3.10,73.06,2,5,5
KIN001,KIN001-PG00007,pregenerated,COc1cc(CCO)ccc1Nc1ncc(CCO)cn1,COc1cc(CCO)ccc1Nc1ncc(CCO)cn1,virtual,289.33,1.30,87.50,3,6,7
KIN001,KIN001-PG00008,pregenerated,CCOc1cc(Cl)ccc1C(=O)Nc1cccc(C(F)(F)F)n1,CCOc1cc(Cl)ccc1C(=O)Nc1cccc(C(F)(F)F)n1,virtual,344.72,4.40,51.22,1,3,4
KIN001,KIN001-PG00009,pregenerated,O=CNc1ccc(Nc2ncc(F)cn2)c(C(F)(F)F)c1,O=CNc1ccc(Nc2ncc(F)cn2)c(C(F)(F)F)c1,virtual,300.21,2.95,66.91,2,4,4
KIN001,KIN001-PG00010,pregenerated,N#Cc1ccc(C(=O)Nc2cccc(C#N)n2)c(O)c1,N#Cc1ccc(C(=O)Nc2cccc(C#N)n2)c(O)c1,virtual,264.24,1.78,109.80,2,5,2
