project_id,library_id,source,smiles,canonical_smiles,series,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds
PROT003,PROT003-PG00001,pregenerated,O=C(Nc1ccc(N2CCOCC2)c(F)c1)c1ccc(O)c(C(F)(F)F)c1,O=C(Nc1ccc(N2CCOCC2)c(F)c1)c1ccc(O)c(C(F)(F)F)c1,virtual,384.33,3.64,61.80,2,4,3
PROT003,PROT003-PG00002,pregenerated,CCc1cccc(C(=O)NCc2ccc(C#N)cc2O)n1,CCc1cccc(C(=O)NCc2ccc(C#N)cc2O)n1,virtual,281.31,2.15,86.01,2,4,4
PROT003,PROT003-PG00003,pregenerated,O=C(NCc1ccc(C(F)(F)F)cc1F)c1cccc(F)n1,O=C(NCc1ccc(C(F)(F)F)cc1F)c1cccc(F)n1,virtual,316.23,3.31,41.99,1,2,3
PROT003,PROT003-PG00004,pregenerated,CCOc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)cc1C(F)(F)F,CCOc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)cc1C(F)(F)F,virtual,462.39,5.21,50.80,1,4,5
PROT003,PROT003-PG00005,pregenerated,CCc1cc(C(=O)Nc2ccc(C(F)(F)F)cc2Cl)ccc1OCCN1CCOCC1,CCc1cc(C(=O)Nc2ccc(C(F)(F)F)cc2Cl)ccc1OCCN1CCOCC1,virtual,456.89,4.88,50.80,1,4,7
PROT003,PROT003-PG00006,pregenerated,Nc1ccc(CNC(=O)c2cccc(C(F)(F)F)n2)c(F)c1,Nc1ccc(CNC(=O)c2cccc(C(F)(F)F)n2)c(F)c1,virtual,313.25,2.75,68.01,2,3,3
PROT003,PROT003-PG00007,pregenerated,CCc1cc(C(=O)Nc2ccc(OC)cc2OC)ccc1OCCN1CCOCC1,CCc1cc(C(=O)Nc2ccc(OC)cc2OC)ccc1OCCN1CCOCC1,virtual,414.50,3.23,69.26,1,6,9
PROT003,PROT003-PG00008,pregenerated,O=C(Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1)c1ccc(Br)c(C(F)(F)F)c1,O=C(Nc1ccc(N2CCOCC2)c(C(F)(F)F)c1)c1ccc(Br)c(C(F)(F)F)c1,virtual,497.23,5.58,41.57,1,3,3
PROT003,PROT003-PG00009,pregenerated,NCc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CO)c2)c(F)c1,NCc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CO)c2)c(F)c1,virtual,403.45,1.74,97.05,3,6,8
PROT003,PROT003-PG00010,pregenerated,O=C(Nc1ccc(CCO)cc1Br)c1ccc(OCCN2CCOCC2)c(CO)c1,O=C(Nc1ccc(CCO)cc1Br)c1ccc(OCCN2CCOCC2)c(CO)c1,virtual,479.37,2.44,91.26,3,6,9
PROT003,PROT003-PG00011,pregenerated,CCc1cc(NC(=O)c2ccc(CC)c(C(F)(F)F)c2)ccc1N1CCOCC1,CCc1cc(NC(=O)c2ccc(CC)c(C(F)(F)F)c2)ccc1N1CCOCC1,virtual,406.45,4.92,41.57,1,3,5
PROT003,PROT003-PG00012,pregenerated,CCc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CN)c2)c(Cl)c1,CCc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CN)c2)c(Cl)c1,virtual,417.94,3.32,76.82,2,5,8
PROT003,PROT003-PG00013,pregenerated,COc1cc(NC(=O)c2ccc(NC=O)c(N)c2)ccc1N1CCOCC1,COc1cc(NC(=O)c2ccc(NC=O)c(N)c2)ccc1N1CCOCC1,virtual,370.41,1.93,105.92,3,6,6
PROT003,PROT003-PG00014,pregenerated,O=COc1cc(CO)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,O=COc1cc(CO)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,virtual,444.48,1.21,117.56,3,8,11
PROT003,PROT003-PG00015,pregenerated,NCc1cc(C(=O)Nc2ccc(N3CCOCC3)c(Cl)c2)ccc1Br,NCc1cc(C(=O)Nc2ccc(N3CCOCC3)c(Cl)c2)ccc1Br,virtual,424.73,3.65,67.59,2,4,4
PROT003,PROT003-PG00016,pregenerated,N#Cc1cc(C(=O)Nc2ccc(N3CCOCC3)c(C#N)c2)ccc1Br,N#Cc1cc(C(=O)Nc2ccc(N3CCOCC3)c(C#N)c2)ccc1Br,virtual,411.26,3.28,89.15,1,5,3
PROT003,PROT003-PG00017,pregenerated,Nc1cccc(C(=O)NCc2ccc(F)cc2S)n1,Nc1cccc(C(=O)NCc2ccc(F)cc2S)n1,virtual,277.32,2.02,68.01,3,4,3
PROT003,PROT003-PG00018,pregenerated,N#Cc1cc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)ccc1Br,N#Cc1cc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)ccc1Br,virtual,454.25,4.43,65.36,1,4,3
PROT003,PROT003-PG00019,pregenerated,O=COc1cc(CCO)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,O=COc1cc(CCO)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,virtual,458.51,1.25,117.56,3,8,12
PROT003,PROT003-PG00020,pregenerated,CCOc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(F)c2)cc1OC,CCOc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(F)c2)cc1OC,virtual,374.41,3.32,60.03,1,5,6
PROT003,PROT003-PG00021,pregenerated,N#Cc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CN)c2)c(Br)c1,N#Cc1ccc(NC(=O)c2ccc(OCCN3CCOCC3)c(CN)c2)c(Br)c1,virtual,459.34,2.74,100.61,2,6,7
PROT003,PROT003-PG00022,pregenerated,Nc1ccc(CNC(=O)c2cccc(O)n2)c(O)c1,Nc1ccc(CNC(=O)c2cccc(O)n2)c(O)c1,virtual,259.27,1.00,108.47,4,5,3
PROT003,PROT003-PG00023,pregenerated,CNc1cc(C)ccc1CNC(=O)c1cccc(CCO)n1,CNc1cc(C)ccc1CNC(=O)c1cccc(CCO)n1,virtual,299.37,1.90,74.25,3,4,6
PROT003,PROT003-PG00024,pregenerated,N#Cc1cc(NC(=O)c2ccc(Cl)c(CCO)c2)ccc1N1CCOCC1,N#Cc1cc(NC(=O)c2ccc(Cl)c(CCO)c2)ccc1N1CCOCC1,virtual,385.85,2.84,85.59,2,5,5
PROT003,PROT003-PG00025,pregenerated,O=C(NCc1ccc(C(F)(F)F)cc1Cl)c1cccc(Cl)n1,O=C(NCc1ccc(C(F)(F)F)cc1Cl)c1cccc(Cl)n1,virtual,349.14,4.34,41.99,1,2,3
PROT003,PROT003-PG00026,pregenerated,NCc1ccc(CNC(=O)c2cccc(N)n2)c(O)c1,NCc1ccc(CNC(=O)c2cccc(N)n2)c(O)c1,virtual,272.31,0.76,114.26,4,5,4
PROT003,PROT003-PG00027,pregenerated,COc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(CO)c2)cc1C(F)(F)F,COc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(CO)c2)cc1C(F)(F)F,virtual,410.39,3.30,71.03,2,5,5
PROT003,PROT003-PG00028,pregenerated,O=COc1cc(O)ccc1CNC(=O)c1cccc(Cl)n1,O=COc1cc(O)ccc1CNC(=O)c1cccc(Cl)n1,virtual,306.70,1.91,88.52,2,5,5
PROT003,PROT003-PG00029,pregenerated,O=C(Nc1ccc(N2CCOCC2)c(CCO)c1)c1ccc(O)c(CCO)c1,O=C(Nc1ccc(N2CCOCC2)c(CCO)c1)c1ccc(O)c(CCO)c1,virtual,386.45,1.55,102.26,4,6,7
PROT003,PROT003-PG00030,pregenerated,NCc1ccc(CNC(=O)c2cccc(CN)n2)c(OC=O)c1,NCc1ccc(CNC(=O)c2cccc(CN)n2)c(OC=O)c1,virtual,314.35,0.46,120.33,3,6,7
PROT003,PROT003-PG00031,pregenerated,Nc1cc(C(=O)Nc2ccc(N3CCOCC3)c(N)c2)ccc1Br,Nc1cc(C(=O)Nc2ccc(N3CCOCC3)c(N)c2)ccc1Br,virtual,391.27,2.70,93.61,3,5,3
PROT003,PROT003-PG00032,pregenerated,CCc1cc(N)ccc1CNC(=O)c1cccc(Cl)n1,CCc1cc(N)ccc1CNC(=O)c1cccc(Cl)n1,virtual,289.77,2.81,68.01,2,3,4
PROT003,PROT003-PG00033,pregenerated,N#Cc1cc(NC(=O)c2ccc(O)c(N)c2)ccc1N1CCOCC1,N#Cc1cc(NC(=O)c2ccc(O)c(N)c2)ccc1N1CCOCC1,virtual,338.37,1.93,111.61,3,6,3
PROT003,PROT003-PG00034,pregenerated,COc1cc(N)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(N)c1,COc1cc(N)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(N)c1,virtual,386.45,1.82,112.07,3,7,7
PROT003,PROT003-PG00035,pregenerated,CCOc1cc(C(F)(F)F)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,CCOc1cc(C(F)(F)F)ccc1NC(=O)c1ccc(OCCN2CCOCC2)c(CCO)c1,virtual,482.50,3.60,80.26,2,6,10
PROT003,PROT003-PG00036,pregenerated,NCc1cccc(C(=O)NCc2ccc(CO)cc2S)n1,NCc1cccc(C(=O)NCc2ccc(CO)cc2S)n1,virtual,303.39,1.25,88.24,4,5,5
PROT003,PROT003-PG00037,pregenerated,CCc1ccc(C(=O)Nc2ccc(N3CCN(C)CC3)cc2CCO)cc1,CCc1ccc(C(=O)Nc2ccc(N3CCN(C)CC3)cc2CCO)cc1,virtual,367.49,2.79,55.81,2,4,6
PROT003,PROT003-PG00038,pregenerated,O=CNc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)cc1C(F)(F)F,O=CNc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(C(F)(F)F)c2)cc1C(F)(F)F,virtual,461.36,4.38,70.67,2,4,5
