project_id,compound_id,smiles,series,pIC50,logD,solubility_uM,microsomal_CLint,hERG_IC50_uM,Caco2_Papp,assay_date
KIN001,KIN001-001,CCc1ccc(NC(=O)c2ccc(O)cc2)c(CN)c1,A,6.36,2.18,260.0,38.8,35.3,9.5,2026-01-14
KIN001,KIN001-002,Cc1ccc(C(=O)Nc2ccc(O)cc2CCO)cc1,A,6.32,2.25,260.0,31.0,26.2,10.4,2026-01-13
KIN001,KIN001-003,Nc1ccc(C(=O)Nc2ccc(F)cc2F)cc1,A,6.01,2.68,158.0,26.8,27.7,13.4,2026-01-14
KIN001,KIN001-004,COc1ccc(NC(=O)c2ccc(NC=O)cc2)c(F)c1,A,7.06,2.66,44.1,45.0,35.5,10.6,2026-01-20
KIN001,KIN001-005,Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(F)(F)F)cc1,A,6.39,5.27,1.0,56.3,13.1,12.8,2026-01-21
KIN001,KIN001-006,O=COc1cc(Cl)ccc1Nc1ncc(O)cn1,A,6.17,1.98,260.0,23.5,37.4,8.5,2026-01-20
KIN001,KIN001-007,N#Cc1cc(Cl)ccc1Nc1ncc(CO)cn1,A,6.19,2.02,260.0,24.1,33.0,10.3,2026-01-26
KIN001,KIN001-008,O=C(Nc1ccc(O)cc1CO)c1ccc(Cl)cc1,A,6.51,2.50,91.8,26.0,26.7,11.1,2026-01-23
KIN001,KIN001-009,OCN1CCN(CCc2ccc(Cl)cc2)CC1,A,5.21,1.29,260.0,20.5,34.1,8.4,2026-01-28
KIN001,KIN001-010,COc1cnc(Nc2ccc(Cl)cc2CO)nc1,A,6.45,2.09,260.0,26.9,32.7,10.3,2026-01-29
KIN001,KIN001-011,Nc1cccc(NC(=O)c2ccc(Cl)cc2Br)n1,A,7.38,2.70,130.8,40.6,31.6,14.7,2026-02-01
KIN001,KIN001-012,O=C(Nc1cccc(C(F)(F)F)n1)c1ccc(C(F)(F)F)cc1F,A,5.91,4.14,1.5,45.9,8.0,15.3,2026-01-30
KIN001,KIN001-013,NCc1cc(OC=O)ccc1Nc1ncc(O)cn1,A,5.20,0.87,260.0,18.2,44.8,1.7,2026-02-07
KIN001,KIN001-014,COc1cc(Cl)ccc1Nc1ncc(C(F)(F)F)cn1,A,6.80,3.71,6.2,46.9,13.8,17.0,2026-02-07
KIN001,KIN001-015,Cc1ccc(Nc2ncc(Cl)cn2)c(OC=O)c1,A,6.38,2.49,164.3,31.5,27.4,13.4,2026-02-06
KIN001,KIN001-016,O=COc1ccc(C(=O)Nc2ccc(O)cc2CCO)cc1,A,6.06,1.37,260.0,26.5,38.5,10.8,2026-02-09
KIN001,KIN001-017,Cc1cc(Cl)ccc1C(=O)Nc1cccc(C(F)(F)F)n1,A,6.59,4.14,7.2,47.3,16.6,16.1,2026-02-13
KIN001,KIN001-018,O=C(Nc1ccc(F)cc1F)c1ccc(S)cc1,A,5.92,3.26,22.9,39.0,11.3,14.4,2026-02-15
KIN001,KIN001-019,CCc1ccc(C(=O)Nc2ccc(C)cc2Cl)cc1,A,5.33,4.43,1.7,56.5,6.7,17.6,2026-02-13
KIN001,KIN001-020,NCc1cccc(NC(=O)c2ccc(N)cc2S)n1,A,5.93,1.46,260.0,26.7,37.9,7.4,2026-02-21
KIN001,KIN001-021,COc1ccc(NC(=O)c2ccc(OC=O)cc2)c(C#N)c1,A,6.70,2.24,260.0,14.6,31.4,12.1,2026-02-19
KIN001,KIN001-022,CCOc1cc(OC)ccc1Nc1ncc(C)cn1,A,6.19,2.46,216.8,39.1,23.7,10.2,2026-02-25
KIN001,KIN001-023,COc1ccc(C(=O)Nc2cccc(C(F)(F)F)n2)c(C)c1,A,6.48,3.40,30.0,43.5,16.6,15.2,2026-02-20
KIN001,KIN001-024,O=CNc1ccc(Nc2ncc(Cl)cn2)c(F)c1,A,6.19,2.39,260.0,32.1,32.0,11.5,2026-02-27
KIN001,KIN001-025,O=COc1cc(F)ccc1C(=O)Nc1cccc(CO)n1,A,6.17,1.24,260.0,29.6,43.2,8.0,2026-03-02
KIN001,KIN001-026,Nc1cccc(NC(=O)c2ccc(Cl)cc2F)n1,A,6.44,2.18,260.0,32.8,44.6,9.7,2026-02-26
KIN001,KIN001-027,COc1cc(F)ccc1Nc1ncc(CN)cn1,A,6.20,1.84,260.0,30.1,37.5,12.5,2026-03-02
KIN001,KIN001-028,COc1ccc(Nc2ncc(C#N)cn2)c(N)c1,A,5.45,1.34,260.0,22.0,38.7,4.5,2026-03-07
KIN001,KIN001-029,Cc1cc(C#N)ccc1Nc1ncc(N)cn1,A,5.59,1.65,260.0,27.1,35.9,6.5,2026-03-09
KIN001,KIN001-030,CCOc1cc(Cl)ccc1Nc1ncc(C#N)cn1,A,6.66,2.72,57.0,23.8,30.0,16.0,2026-03-11
KIN001,KIN001-031,CCc1cc(CO)ccc1Nc1ncc(C(F)(F)F)cn1,B,6.71,3.09,47.4,43.4,22.9,16.2,2026-03-11
KIN001,KIN001-032,O=CNc1ccc(CCN2CCN(O)CC2)cc1,B,5.32,0.43,260.0,21.0,49.7,7.2,2026-03-12
KIN001,KIN001-033,CCc1ccc(C(=O)Nc2ccc(O)cc2O)cc1,B,6.43,2.59,241.7,26.9,28.3,9.4,2026-03-14
KIN001,KIN001-034,O=C(Nc1cccc(CCO)n1)c1ccc(O)cc1F,B,6.24,1.78,260.0,29.2,34.4,9.3,2026-03-19
KIN001,KIN001-035,NCc1ccc(NC(=O)c2ccc(F)cc2)c(CO)c1,B,6.61,1.54,260.0,28.0,38.0,6.8,2026-03-18
KIN001,KIN001-036,OCc1cnc(Nc2ccc(O)cc2O)nc1,B,5.33,0.80,260.0,10.2,37.7,2.9,2026-03-20
KIN001,KIN001-037,Cc1ccc(NC(=O)c2ccc(Cl)cc2)c(Cl)c1,B,6.08,4.33,1.0,45.7,8.7,15.4,2026-03-25
KIN001,KIN001-038,Cc1cnc(Nc2ccc(CCO)cc2Cl)nc1,B,5.89,2.63,92.9,24.4,33.6,14.4,2026-03-24
KIN001,KIN001-039,CNc1ccc(C(=O)Nc2ccc(OC)cc2C#N)cc1,B,6.79,2.64,144.9,32.7,21.9,11.6,2026-03-27
KIN001,KIN001-040,CCOc1ccc(Nc2ncc(CC)cn2)c(C(F)(F)F)c1,B,6.96,4.15,4.5,53.4,14.7,13.7,2026-03-31
KIN001,KIN001-041,CCc1cccc(NC(=O)c2ccc(F)cc2Cl)n1,B,5.68,3.34,9.7,38.2,26.3,16.6,2026-03-30
